# Thermal conductivity parameters
#################################
# Material       Formula     Source                    T_low    T_high        p00               p01              p02                p03              p04                p05              p06                p07               p08               p09               p10               p11               p12               p13               p14               p15
# =====================================================================================================================================================================================================================================================================================================================================================================
G10_CR_norm     NIST_power   Marquardt_et_al._(2000)    0.010  300.000  -4.1236000000E+0   1.3788000000E+1  -2.6068000000E+1   2.6272000000E+1  -1.4663000000E+1   4.4954000000E+0  -6.9050000000E-1   3.9700000000E-2   0.0000000000E+0   4.0000000000E+0   1.3500000000E+0   7.1531300000E-1   2.6806000000E-2   1.0000000000E-2   1.9769614000E+0   1.6120000000E-2
G10_CR_warp     NIST_power   Marquardt_et_al._(2000)    0.010  300.000  -2.6482700000E+0   8.8022800000E+0  -2.4899800000E+1   4.1162500000E+1  -3.9875400000E+1   2.3177800000E+1  -7.9563500000E+0   1.4880600000E+0  -1.1701000000E-1   4.0000000000E+0   1.3500000000E+0   7.1531300000E-1   2.6806000000E-2   1.0000000000E-2   1.9769614000E+0   1.6120000000E-2
Manganin        Cheby_ln     Woodcraft_&_Gray_(2009)    0.100  300.000   5.0000000000E+0  -2.3100000000E+0   5.7100000000E+0  -7.4394551434E-1   4.4302265442E+0  -3.9110573495E-1  -3.6935101335E-1   9.0580675256E-2   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0
Graphite_A      NIST         Woodcraft_et_al._(2009)    0.060    4.220  -2.6969766205E+0   1.5731081626E+0   6.1035056854E-1   2.4630392407E-1  -5.8483560999E-2  -9.3729947565E-2  -2.6652707876E-2   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0
Graphite_P      NIST         Woodcraft_et_al._(2009)    0.060    4.220  -2.6955928473E+0   1.5765172022E+0   5.8112206522E-1   2.0872096138E-1   3.5732491912E-3   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0
CF_tube         NIST_power   Measured                   0.080    1.000   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   1.0000000000E+0   8.0000000000E-2   1.2529018278E+0   1.6486876396E-2   8.0000000000E-2   0.0000000000E+0   0.0000000000E+0
CF_cylinder     NIST_power   Measured                   0.030    2.000   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   2.0000000000E+0   3.0000000000E-2   1.6735494240E+0   3.9204503532E-3   3.0000000000E-2   0.0000000000E+0   0.0000000000E+0
NbTi            NIST_power   Woodcraft_et_al._(2010)    0.010    4.000   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   4.0000000000E+0   1.0000000000E-2   2.0000000000E+0   2.7000000000E-2   1.0000000000E-2   0.0000000000E+0   0.0000000000E+0
PhBr            NIST_power   Woodcraft_et_al._(2010)    0.010  300.000  -6.5657106106E-1   1.4123859400E+0   1.5510650215E-1  -2.8612319273E-1   5.9360362344E-2   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   3.0000000000E+0   1.0000000000E-2   1.2000000000E+0   3.6000000000E-1   1.0000000000E-2   0.0000000000E+0   0.0000000000E+0
Mylar           NIST         Choy_&_Greig_(1975)        2.000   80.000  -1.3773700000E+0  -3.4066800000E+0   2.0584200000E+1  -5.3124400000E+1   7.3247600000E+1  -5.7654600000E+1   2.6119200000E+1  -6.3479000000E+0   6.4033100000E-1   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0   0.0000000000E+0
